Generation,BestFitness,AverageFitness,SpeciesCount,AverageComplexity,ChampionSteps
0,225.800000,13.281333,1,9.000000,224.800000
1,225.800000,21.610667,1,9.033333,224.800000
2,225.800000,31.845333,1,9.020000,224.800000
3,301.600000,46.600000,3,9.206667,300.600000
4,301.600000,60.564000,4,11.280000,300.600000
5,301.600000,59.888000,10,11.240000,300.600000
6,301.600000,72.585333,10,12.613333,300.600000
7,301.600000,81.456000,13,12.733333,300.600000
8,301.600000,75.737333,14,13.266667,300.600000
9,301.600000,89.940000,14,14.020000,300.600000
10,301.600000,99.034667,14,13.973333,300.600000
11,301.600000,106.485333,15,14.213333,300.600000
12,301.600000,106.617333,18,14.913333,300.600000
13,301.600000,111.826667,19,15.773333,300.600000
14,301.600000,115.470667,20,15.866667,300.600000
15,301.600000,123.281333,25,15.973333,300.600000
16,301.600000,122.108000,27,17.373333,300.600000
17,301.600000,131.084000,31,17.373333,300.600000
18,301.600000,136.216000,31,17.280000,300.600000
19,301.600000,119.297333,32,17.653333,300.600000
20,301.600000,135.556000,33,17.713333,300.600000
21,301.600000,137.140000,36,17.866667,300.600000
22,301.600000,133.092000,36,17.733333,300.600000
23,301.600000,133.288000,36,18.013333,300.600000
24,301.600000,133.220000,39,17.953333,300.600000
25,301.600000,136.070667,39,18.613333,300.600000
26,301.600000,138.430667,41,18.600000,300.600000
27,301.600000,140.844000,41,18.453333,300.600000
28,301.600000,135.280000,41,18.593333,300.600000
29,301.600000,150.450667,43,18.400000,300.600000
30,301.600000,152.493333,44,18.840000,300.600000
31,301.600000,151.337333,47,19.186667,300.600000
32,301.600000,158.450667,48,19.913333,300.600000
33,301.600000,147.802667,51,19.640000,300.600000
34,301.600000,154.153333,50,19.720000,300.600000
35,301.600000,155.096000,50,19.720000,300.600000
36,301.600000,155.113333,51,19.893333,300.600000
37,301.600000,156.114667,51,20.120000,300.600000
38,301.600000,158.740000,51,20.206667,300.600000
39,301.600000,158.534667,51,20.220000,300.600000
40,301.600000,156.730667,51,20.080000,300.600000
41,301.600000,166.504000,52,20.180000,300.600000
42,301.600000,173.361333,54,20.246667,300.600000
43,301.600000,163.921333,55,20.926667,300.600000
44,301.600000,166.645333,58,20.720000,300.600000
45,301.600000,177.685333,57,21.233333,300.600000
46,301.600000,173.065333,57,21.120000,300.600000
47,301.600000,174.632000,57,21.226667,300.600000
48,301.600000,179.680000,57,21.206667,300.600000
49,301.600000,160.041333,59,21.146667,300.600000
50,301.600000,171.326667,59,21.473333,300.600000
51,301.600000,175.832000,59,21.540000,300.600000
52,301.600000,172.750667,59,21.493333,300.600000
53,301.600000,172.412000,59,21.760000,300.600000
54,301.600000,173.105333,59,21.473333,300.600000
55,301.600000,170.796000,59,21.220000,300.600000
56,301.600000,184.768000,59,21.866667,300.600000
57,301.600000,174.436000,59,21.826667,300.600000
58,301.600000,181.036000,60,21.680000,300.600000
59,301.600000,170.500000,61,22.193333,300.600000
60,301.600000,192.182667,62,22.306667,300.600000
61,301.600000,181.172000,62,22.106667,300.600000
62,301.600000,177.682667,62,22.133333,300.600000
63,301.600000,169.998667,62,22.233333,300.600000
64,301.600000,183.750667,62,21.746667,300.600000
65,301.600000,183.704000,62,22.000000,300.600000
66,301.600000,175.897333,63,22.060000,300.600000
67,301.600000,177.868000,63,22.040000,300.600000
68,301.600000,183.394667,63,21.926667,300.600000
69,301.600000,189.709333,63,22.086667,300.600000
70,301.600000,196.406667,63,22.366667,300.600000
71,301.600000,194.789333,65,22.326667,300.600000
72,301.600000,187.330667,65,22.566667,300.600000
73,301.600000,203.600000,65,22.813333,300.600000
74,301.600000,186.986667,65,22.653333,300.600000
75,301.600000,189.482667,65,22.620000,300.600000
76,301.600000,193.841333,65,22.373333,300.600000
77,301.600000,189.626667,65,22.806667,300.600000
78,301.600000,189.214667,66,22.900000,300.600000
79,301.600000,197.929333,66,23.160000,300.600000
80,301.600000,187.308000,67,22.680000,300.600000
81,301.600000,191.716000,67,23.206667,300.600000
82,301.600000,177.006667,68,22.933333,300.600000
83,301.600000,201.774667,68,23.040000,300.600000
84,301.600000,185.233333,69,23.160000,300.600000
85,301.600000,186.012000,69,23.240000,300.600000
86,301.600000,192.404000,71,23.160000,300.600000
87,301.600000,205.909333,71,23.306667,300.600000
88,301.600000,200.558667,71,23.026667,300.600000
89,301.600000,191.696000,73,23.553333,300.600000
90,301.600000,195.853333,73,23.526667,300.600000
91,301.600000,183.562667,73,23.380000,300.600000
92,301.600000,195.190667,73,23.726667,300.600000
93,301.600000,184.872000,73,23.340000,300.600000
94,301.600000,191.632000,73,23.686667,300.600000
95,301.600000,196.114667,73,23.893333,300.600000
96,301.600000,180.404000,73,23.506667,300.600000
97,301.600000,200.149333,73,23.473333,300.600000
98,301.600000,192.284000,74,23.220000,300.600000
99,301.600000,196.569333,74,23.493333,300.600000
100,301.600000,194.065333,74,23.693333,300.600000
101,301.600000,196.478667,77,23.726667,300.600000
102,301.600000,195.094667,77,23.453333,300.600000
103,301.600000,189.329333,78,23.420000,300.600000
104,301.600000,187.005333,78,23.620000,300.600000
105,301.600000,187.849333,78,23.753333,300.600000
106,301.600000,181.969333,78,23.640000,300.600000
107,301.600000,192.900000,78,23.653333,300.600000
108,301.600000,188.017333,78,23.646667,300.600000
109,301.600000,191.129333,78,23.826667,300.600000
110,301.600000,185.253333,78,23.786667,300.600000
111,301.600000,192.081333,78,23.626667,300.600000
112,301.600000,193.708000,78,23.840000,300.600000
113,301.600000,196.538667,78,23.686667,300.600000
114,301.600000,193.013333,78,23.786667,300.600000
115,301.600000,205.718667,79,23.726667,300.600000
116,301.600000,197.128000,79,23.766667,300.600000
117,301.600000,198.553333,79,23.700000,300.600000
118,301.600000,192.766667,80,23.640000,300.600000
119,301.600000,187.422667,80,24.020000,300.600000
120,301.600000,191.740000,80,23.860000,300.600000
121,301.600000,196.753333,81,23.940000,300.600000
122,301.600000,199.064000,81,23.953333,300.600000
123,301.600000,195.382667,81,23.940000,300.600000
124,301.600000,188.870667,81,24.033333,300.600000
125,301.600000,195.805333,81,23.940000,300.600000
126,301.600000,200.056000,81,24.040000,300.600000
127,301.600000,195.837333,81,23.966667,300.600000
128,301.600000,198.865333,81,24.040000,300.600000
129,301.600000,187.089333,81,23.986667,300.600000
130,301.600000,191.957333,81,23.946667,300.600000
131,301.600000,189.373333,81,23.993333,300.600000
132,301.600000,199.365333,81,23.940000,300.600000
133,301.600000,194.281333,81,23.920000,300.600000
134,301.600000,203.966667,82,23.953333,300.600000
135,301.600000,196.500000,82,23.926667,300.600000
136,301.600000,192.738667,82,23.906667,300.600000
137,301.600000,194.780000,82,23.980000,300.600000
138,301.600000,193.965333,84,23.993333,300.600000
139,301.600000,191.804000,84,23.966667,300.600000
140,301.600000,197.525333,84,23.993333,300.600000
141,301.600000,200.460000,84,23.926667,300.600000
142,301.600000,198.888000,84,23.893333,300.600000
143,301.600000,200.930667,84,24.073333,300.600000
144,301.600000,209.321333,84,24.046667,300.600000
145,301.600000,203.757333,84,24.180000,300.600000
146,301.600000,203.762667,84,24.080000,300.600000
147,301.600000,202.325333,84,24.120000,300.600000
148,301.600000,197.236000,84,24.053333,300.600000
149,301.600000,190.864000,84,24.180000,300.600000
150,301.600000,204.557333,84,24.040000,300.600000
151,301.600000,205.234667,84,24.066667,300.600000
152,301.600000,192.121333,84,24.106667,300.600000
153,301.600000,210.233333,84,24.160000,300.600000
154,301.600000,202.037333,84,23.920000,300.600000
155,301.600000,209.037333,84,24.153333,300.600000
156,301.600000,202.048000,84,24.093333,300.600000
157,301.600000,215.674667,84,24.006667,300.600000
158,301.600000,192.838667,84,24.046667,300.600000
159,301.600000,197.597333,84,24.013333,300.600000
160,301.600000,207.266667,84,23.986667,300.600000
161,301.600000,207.362667,84,24.173333,300.600000
162,301.600000,203.005333,84,24.013333,300.600000
163,301.600000,204.998667,84,24.073333,300.600000
164,301.600000,197.049333,84,24.133333,300.600000
165,301.600000,212.393333,84,24.040000,300.600000
166,301.600000,205.454667,84,24.020000,300.600000
167,301.600000,204.773333,84,24.160000,300.600000
168,301.600000,190.230667,84,23.873333,300.600000
169,301.600000,208.761333,84,24.066667,300.600000
170,301.600000,204.536000,84,24.180000,300.600000
171,301.600000,196.046667,84,24.133333,300.600000
