Generation,BestFitness,AverageFitness,SpeciesCount,AverageComplexity,ChampionSteps
0,213.000000,14.914667,1,9.000000,212.000000
1,213.000000,22.960000,1,9.046667,212.000000
2,216.800000,33.132000,1,9.073333,215.800000
3,216.800000,52.473333,3,9.093333,215.800000
4,217.000000,52.309333,3,11.066667,216.000000
5,217.000000,62.452000,4,11.020000,216.000000
6,217.000000,77.157333,5,10.613333,216.000000
7,217.000000,70.025333,5,11.386667,216.000000
8,309.200000,88.000000,7,11.626667,308.200000
9,309.200000,89.237333,7,12.326667,308.200000
10,309.200000,106.248000,14,12.673333,308.200000
11,309.200000,118.192000,15,13.386667,308.200000
12,309.200000,118.641333,18,14.406667,308.200000
13,309.200000,108.001333,19,14.600000,308.200000
14,309.200000,117.006667,22,14.873333,308.200000
15,309.200000,110.781333,22,15.293333,308.200000
16,309.200000,124.373333,22,15.506667,308.200000
17,309.200000,127.068000,22,15.433333,308.200000
18,309.200000,133.637333,23,16.320000,308.200000
19,309.200000,142.100000,25,16.546667,308.200000
20,309.200000,138.054667,25,16.360000,308.200000
21,309.200000,147.954667,27,17.100000,308.200000
22,309.200000,147.158667,27,17.466667,308.200000
23,309.200000,145.002667,28,17.520000,308.200000
24,309.200000,152.782667,28,17.653333,308.200000
25,309.200000,141.882667,29,17.806667,308.200000
26,309.200000,142.570667,30,17.753333,308.200000
27,309.200000,147.414667,32,17.966667,308.200000
28,309.200000,133.777333,32,18.340000,308.200000
29,309.200000,152.476000,32,18.240000,308.200000
30,309.200000,143.180000,33,17.933333,308.200000
31,309.200000,164.936000,34,18.313333,308.200000
32,309.200000,148.868000,36,18.300000,308.200000
33,309.200000,144.874667,37,19.460000,308.200000
34,309.200000,155.989333,37,19.180000,308.200000
35,309.200000,155.936000,37,18.933333,308.200000
36,309.200000,145.726667,37,19.073333,308.200000
37,309.200000,159.670667,36,19.313333,308.200000
38,309.200000,166.072000,37,19.420000,308.200000
39,309.400000,154.713333,39,19.540000,308.400000
40,309.400000,162.489333,39,19.826667,308.400000
41,309.400000,164.360000,40,19.713333,308.400000
42,309.400000,167.570667,41,19.873333,308.400000
43,309.400000,167.216000,41,20.033333,308.400000
44,309.400000,162.994667,41,19.920000,308.400000
45,309.400000,165.856000,41,19.993333,308.400000
46,309.400000,164.465333,41,19.620000,308.400000
47,309.400000,164.886667,42,19.853333,308.400000
48,309.400000,168.181333,43,20.093333,308.400000
49,309.400000,162.664000,43,20.180000,308.400000
50,309.400000,163.066667,43,20.260000,308.400000
51,309.400000,166.201333,43,20.533333,308.400000
52,309.400000,172.173333,44,20.566667,308.400000
53,309.400000,155.110667,46,20.606667,308.400000
54,309.400000,164.238667,46,20.540000,308.400000
55,309.400000,168.492000,46,20.620000,308.400000
56,309.400000,166.702667,46,20.693333,308.400000
57,309.400000,176.968000,46,21.053333,308.400000
58,309.400000,181.550667,48,20.880000,308.400000
59,309.400000,176.177333,48,20.873333,308.400000
60,309.400000,174.289333,49,21.100000,308.400000
61,309.400000,180.885333,51,21.073333,308.400000
62,309.400000,182.330667,52,21.540000,308.400000
63,309.400000,173.946667,52,21.286667,308.400000
64,309.400000,181.506667,53,21.293333,308.400000
65,309.400000,180.438667,53,21.546667,308.400000
66,309.400000,183.032000,52,21.293333,308.400000
67,309.400000,184.713333,52,21.466667,308.400000
68,309.400000,188.533333,52,21.606667,308.400000
69,309.400000,183.430667,52,21.826667,308.400000
70,309.400000,181.145333,53,21.606667,308.400000
71,309.400000,182.802667,53,21.593333,308.400000
72,309.400000,175.914667,53,21.546667,308.400000
73,309.400000,179.861333,53,21.680000,308.400000
74,309.400000,179.000000,53,21.766667,308.400000
75,309.400000,196.952000,53,21.833333,308.400000
76,309.400000,206.145333,53,21.793333,308.400000
77,309.400000,195.969333,53,21.700000,308.400000
78,309.400000,184.068000,53,21.926667,308.400000
79,309.400000,175.186667,53,21.966667,308.400000
80,309.400000,184.517333,53,22.080000,308.400000
81,309.400000,185.938667,53,22.106667,308.400000
82,309.400000,183.824000,53,22.300000,308.400000
83,309.400000,184.193333,54,21.933333,308.400000
84,309.400000,183.353333,55,21.826667,308.400000
85,309.400000,188.277333,55,22.193333,308.400000
86,309.400000,190.821333,55,22.073333,308.400000
87,309.400000,190.698667,56,22.333333,308.400000
88,309.400000,191.208000,56,22.353333,308.400000
89,309.400000,179.453333,56,22.373333,308.400000
90,309.400000,181.312000,56,22.426667,308.400000
91,309.400000,190.049333,56,22.366667,308.400000
92,309.400000,193.246667,56,22.433333,308.400000
93,309.400000,189.141333,57,22.260000,308.400000
94,309.400000,183.133333,58,22.293333,308.400000
95,309.400000,191.656000,58,22.500000,308.400000
96,309.400000,190.514667,58,22.460000,308.400000
97,309.400000,194.988000,59,22.526667,308.400000
