Generation,BestFitness,AverageFitness,SpeciesCount,AverageComplexity,ChampionSteps
0,308.600000,23.992000,1,9.000000,307.600000
1,308.600000,48.346667,1,9.066667,307.600000
2,312.000000,80.321333,1,9.086667,311.000000
3,312.200000,94.188000,1,8.986667,311.200000
4,312.200000,121.470667,2,8.880000,311.200000
5,312.200000,123.360000,3,9.780000,311.200000
6,312.200000,159.078667,3,12.406667,311.200000
7,312.200000,153.797333,11,12.146667,311.200000
8,312.200000,126.421333,11,14.120000,311.200000
9,312.200000,119.498667,12,14.840000,311.200000
10,312.200000,119.874667,15,14.566667,311.200000
11,312.200000,139.117333,15,16.086667,311.200000
12,312.200000,144.574667,15,15.426667,311.200000
13,312.200000,137.310667,17,15.720000,311.200000
14,312.200000,182.585333,17,15.960000,311.200000
15,312.400000,188.913333,16,15.666667,311.400000
16,312.400000,187.248000,19,16.273333,311.400000
17,312.400000,180.949333,21,16.766667,311.400000
18,312.600000,203.772000,22,16.606667,311.600000
19,312.600000,209.021333,25,16.900000,311.600000
20,312.600000,204.841333,26,17.086667,311.600000
21,312.600000,220.950667,27,17.540000,311.600000
22,312.600000,209.965333,28,17.660000,311.600000
23,312.600000,217.802667,28,17.806667,311.600000
24,312.600000,214.413333,29,18.086667,311.600000
25,312.600000,219.725333,30,17.800000,311.600000
26,312.600000,212.721333,31,18.046667,311.600000
27,312.600000,220.949333,31,18.160000,311.600000
28,312.600000,219.689333,31,18.353333,311.600000
29,312.600000,215.110667,33,18.306667,311.600000
30,312.600000,188.270667,34,18.540000,311.600000
31,312.600000,225.045333,35,18.506667,311.600000
32,312.600000,222.466667,36,18.560000,311.600000
33,312.600000,203.788000,37,18.793333,311.600000
34,312.600000,219.590667,37,18.820000,311.600000
35,312.600000,199.753333,37,18.840000,311.600000
36,312.600000,216.604000,37,18.913333,311.600000
37,312.600000,212.549333,38,18.866667,311.600000
38,312.600000,222.229333,38,18.573333,311.600000
39,312.600000,212.485333,38,18.766667,311.600000
40,312.600000,220.150667,40,18.980000,311.600000
41,312.600000,219.829333,41,19.000000,311.600000
42,312.600000,205.193333,41,19.133333,311.600000
43,312.600000,226.962667,41,19.440000,311.600000
44,312.600000,227.414667,41,19.213333,311.600000
45,312.600000,212.456000,42,19.480000,311.600000
46,312.600000,218.474667,43,19.380000,311.600000
47,312.600000,221.214667,44,19.226667,311.600000
48,312.600000,233.716000,44,19.386667,311.600000
49,312.600000,205.236000,44,19.706667,311.600000
50,312.600000,222.761333,45,19.553333,311.600000
51,312.600000,225.629333,45,19.706667,311.600000
52,312.600000,221.465333,46,19.653333,311.600000
53,312.600000,231.400000,48,19.840000,311.600000
54,312.600000,235.732000,49,20.073333,311.600000
55,312.600000,234.937333,50,20.213333,311.600000
56,312.600000,232.414667,50,20.300000,311.600000
57,312.600000,239.801333,51,20.560000,311.600000
58,312.600000,232.201333,50,20.793333,311.600000
59,312.600000,236.121333,52,20.786667,311.600000
60,312.600000,247.025333,53,20.860000,311.600000
61,312.600000,250.980000,53,21.006667,311.600000
62,312.600000,246.849333,54,20.986667,311.600000
63,312.600000,234.164000,54,21.033333,311.600000
64,312.600000,240.640000,54,21.233333,311.600000
65,312.600000,234.873333,54,20.953333,311.600000
66,312.600000,228.836000,55,21.046667,311.600000
67,312.600000,239.474667,55,21.153333,311.600000
68,312.600000,234.182667,55,21.033333,311.600000
69,312.600000,243.264000,55,21.226667,311.600000
70,312.600000,249.052000,55,21.306667,311.600000
71,312.600000,236.632000,56,21.213333,311.600000
72,312.600000,231.789333,57,21.233333,311.600000
73,312.600000,240.313333,57,20.940000,311.600000
74,312.600000,242.154667,57,21.180000,311.600000
75,312.600000,242.937333,57,21.200000,311.600000
76,312.600000,250.272000,57,21.260000,311.600000
77,312.600000,242.600000,57,21.353333,311.600000
78,312.600000,242.480000,56,21.266667,311.600000
79,312.600000,230.965333,56,21.560000,311.600000
80,312.600000,235.993333,56,21.386667,311.600000
81,312.600000,240.288000,56,21.260000,311.600000
82,312.600000,235.746667,56,21.693333,311.600000
83,312.600000,245.606667,56,21.553333,311.600000
84,312.600000,242.785333,56,21.506667,311.600000
85,312.600000,239.149333,56,21.373333,311.600000
86,312.600000,247.460000,56,21.386667,311.600000
87,312.600000,245.426667,56,21.406667,311.600000
88,312.600000,246.089333,56,21.373333,311.600000
89,312.800000,237.257333,56,21.280000,311.800000
90,312.800000,229.933333,56,21.460000,311.800000
91,312.800000,251.218667,56,21.560000,311.800000
92,312.800000,243.210667,57,21.626667,311.800000
93,312.800000,255.130667,57,21.766667,311.800000
94,312.800000,238.180000,57,21.640000,311.800000
95,312.800000,247.637333,60,21.686667,311.800000
96,312.800000,242.734667,60,21.820000,311.800000
97,312.800000,241.154667,61,21.693333,311.800000
98,312.800000,247.138667,61,22.280000,311.800000
99,312.800000,236.901333,61,22.093333,311.800000
100,312.800000,228.528000,61,21.906667,311.800000
101,312.800000,247.329333,61,22.140000,311.800000
102,312.800000,239.582667,62,22.093333,311.800000
103,312.800000,237.993333,62,22.100000,311.800000
104,312.800000,250.114667,62,22.420000,311.800000
105,312.800000,250.909333,63,22.300000,311.800000
106,312.800000,249.253333,63,21.886667,311.800000
107,312.800000,254.576000,63,22.206667,311.800000
108,312.800000,242.621333,63,22.293333,311.800000
109,312.800000,232.104000,63,22.413333,311.800000
110,312.800000,244.216000,63,22.166667,311.800000
111,312.800000,253.402667,63,22.113333,311.800000
112,312.800000,235.208000,63,22.320000,311.800000
113,312.800000,237.125333,64,22.373333,311.800000
114,312.800000,249.125333,65,22.360000,311.800000
115,312.800000,235.594667,65,22.380000,311.800000
116,312.800000,239.402667,67,22.720000,311.800000
117,312.800000,245.012000,68,22.520000,311.800000
118,312.800000,242.972000,68,22.680000,311.800000
119,312.800000,236.816000,68,22.633333,311.800000
120,312.800000,237.386667,68,22.993333,311.800000
121,312.800000,257.570667,68,22.813333,311.800000
122,312.800000,248.064000,68,22.973333,311.800000
123,312.800000,251.517333,68,22.606667,311.800000
124,312.800000,241.750667,68,22.766667,311.800000
125,312.800000,244.888000,69,23.233333,311.800000
126,312.800000,248.341333,70,22.733333,311.800000
127,312.800000,247.310667,70,22.986667,311.800000
128,312.800000,257.393333,70,23.086667,311.800000
129,312.800000,242.752000,70,23.073333,311.800000
130,312.800000,246.310667,70,23.040000,311.800000
131,312.800000,246.912000,70,23.020000,311.800000
132,312.800000,250.078667,70,22.960000,311.800000
133,312.800000,242.432000,70,23.093333,311.800000
134,312.800000,252.349333,70,22.960000,311.800000
135,312.800000,258.565333,70,22.960000,311.800000
136,312.800000,246.749333,71,23.146667,311.800000
137,312.800000,245.968000,72,23.173333,311.800000
138,312.800000,250.950667,72,23.240000,311.800000
139,312.800000,242.968000,73,23.380000,311.800000
140,312.800000,240.564000,74,23.433333,311.800000
141,312.800000,249.205333,74,23.286667,311.800000
142,312.800000,246.909333,74,23.273333,311.800000
143,312.800000,257.626667,74,23.460000,311.800000
144,312.800000,255.438667,74,23.453333,311.800000
145,312.800000,249.361333,74,23.446667,311.800000
146,312.800000,261.150667,75,23.406667,311.800000
147,312.800000,244.978667,75,23.513333,311.800000
148,312.800000,248.192000,75,23.466667,311.800000
149,312.800000,249.413333,75,23.546667,311.800000
150,312.800000,246.946667,75,23.533333,311.800000
151,312.800000,248.162667,75,23.626667,311.800000
152,312.800000,252.368000,75,23.566667,311.800000
153,312.800000,249.796000,75,23.446667,311.800000
154,312.800000,249.972000,75,23.466667,311.800000
155,312.800000,257.593333,75,23.440000,311.800000
156,312.800000,252.176000,75,23.593333,311.800000
157,312.800000,257.836000,75,23.626667,311.800000
158,312.800000,254.782667,75,23.520000,311.800000
159,312.800000,251.480000,75,23.506667,311.800000
160,312.800000,255.728000,75,23.620000,311.800000
161,312.800000,249.477333,75,23.526667,311.800000
162,312.800000,256.014667,75,23.506667,311.800000
163,312.800000,247.521333,76,23.700000,311.800000
164,312.800000,244.888000,76,23.673333,311.800000
165,312.800000,242.465333,77,23.733333,311.800000
166,312.800000,252.817333,77,23.800000,311.800000
167,312.800000,246.686667,77,23.780000,311.800000
168,312.800000,253.728000,79,23.846667,311.800000
169,312.800000,248.113333,79,23.746667,311.800000
170,312.800000,257.596000,79,23.640000,311.800000
171,312.800000,236.398667,79,23.860000,311.800000
172,312.800000,254.436000,79,24.046667,311.800000
173,312.800000,245.193333,79,23.726667,311.800000
174,312.800000,252.898667,79,23.806667,311.800000
175,312.800000,242.017333,79,23.906667,311.800000
176,312.800000,249.129333,79,23.813333,311.800000
177,312.800000,253.162667,80,23.906667,311.800000
178,312.800000,259.670667,80,23.920000,311.800000
179,312.800000,255.470667,80,23.940000,311.800000
180,312.800000,249.601333,80,24.046667,311.800000
181,312.800000,259.253333,80,24.126667,311.800000
182,312.800000,249.813333,80,23.906667,311.800000
183,312.800000,263.841333,80,23.906667,311.800000
184,312.800000,248.716000,80,24.053333,311.800000
185,312.800000,250.525333,80,24.046667,311.800000
186,312.800000,255.032000,80,23.833333,311.800000
187,312.800000,255.493333,80,23.866667,311.800000
188,312.800000,247.165333,80,23.920000,311.800000
189,312.800000,249.978667,81,23.953333,311.800000
190,312.800000,264.321333,81,24.153333,311.800000
191,312.800000,256.576000,81,24.213333,311.800000
192,312.800000,260.590667,81,24.166667,311.800000
193,312.800000,261.440000,81,24.046667,311.800000
194,312.800000,254.240000,81,24.286667,311.800000
195,312.800000,251.417333,81,23.940000,311.800000
196,312.800000,261.861333,82,24.173333,311.800000
197,312.800000,251.644000,82,24.333333,311.800000
198,312.800000,254.844000,82,24.060000,311.800000
199,312.800000,263.128000,82,24.306667,311.800000
200,312.800000,262.466667,82,24.126667,311.800000
201,312.800000,258.350667,83,24.420000,311.800000
202,312.800000,267.449333,83,24.160000,311.800000
203,312.800000,267.784000,84,24.300000,311.800000
204,312.800000,268.384000,85,24.053333,311.800000
205,312.800000,259.556000,85,24.226667,311.800000
206,312.800000,257.746667,85,24.333333,311.800000
207,312.800000,258.820000,85,24.386667,311.800000
208,312.800000,258.298667,85,24.353333,311.800000
209,312.800000,264.702667,85,24.320000,311.800000
210,312.800000,265.866667,86,24.120000,311.800000
