Generation,BestFitness,AverageFitness,SpeciesCount,AverageComplexity
0,2.999718,2.933892,1,5.000000
1,2.999956,2.952834,1,5.150000
2,2.999992,2.962149,1,5.130000
3,3.029207,2.966284,3,5.530000
4,3.131367,2.978755,4,6.870000
5,3.156972,2.944674,9,9.180000
6,3.210506,2.925876,9,10.520000
7,3.210506,2.972413,10,11.070000
8,3.245004,2.970409,17,11.800000
9,3.295100,2.974376,18,13.450000
10,3.395960,3.040153,21,13.930000
11,3.395960,3.023435,22,14.930000
12,3.395960,3.030709,24,15.650000
13,3.400743,3.062821,25,16.480000
14,3.550825,3.030861,26,16.920000
15,3.550825,3.082945,27,17.410000
16,3.550825,3.114398,27,17.470000
17,3.550825,3.118014,28,18.090000
18,3.550825,3.150112,29,18.170000
19,3.550825,3.106317,31,18.350000
20,3.570882,3.145284,30,18.680000
21,3.570882,3.153310,34,18.860000
22,3.597451,3.178174,34,19.260000
23,3.597451,3.188308,35,19.150000
24,3.597451,3.162315,37,19.450000
25,3.597451,3.196469,37,19.670000
26,3.606163,3.217612,37,20.070000
27,3.606163,3.201977,39,20.590000
28,3.606163,3.224535,39,20.790000
29,3.606163,3.245078,41,21.010000
30,3.606163,3.222554,41,21.320000
31,3.629093,3.212956,43,21.470000
32,3.667921,3.225682,45,21.470000
33,3.667921,3.238550,45,22.000000
34,3.667921,3.242603,46,22.020000
35,3.668194,3.280480,46,22.490000
36,3.668194,3.247066,46,22.380000
37,3.668194,3.267790,45,22.640000
38,3.668194,3.262430,46,22.840000
39,3.670531,3.266671,46,23.080000
